grade,pain_score,name,phone,wa_link,social,rating,rating_count,city,address,niche,category
A+,100,Responsive Plumbing,+447885442006,https://wa.me/447885442006,,5.0,43,Manchester,"Partington Ln, Manchester M27 0NS, United Kingdom",plumbers,Plumber
A+,100,The Emergency Manchester Plumbers,+441614100839,https://wa.me/441614100839,,5.0,27,Manchester,,plumbers,Plumber
A+,100,HOMEURGENCY,+448000935020,https://wa.me/448000935020,,5.0,148,Manchester,,plumbers,Plumber
A+,100,247 Northwest Plumbing Limited,+447496806820,https://wa.me/447496806820,,5.0,31,Manchester,,plumbers,Plumber
A+,100,Inkforpassion Tattoo & Piercing Roma,+390645504636,https://wa.me/390645504636,https://www.instagram.com/tattoo49_roma?igsh=Z3hnbTIxN2RkZWxl&utm_source=qr,4.9,1300,Rome,"Via Latina, 69a, 00179 Roma RM, Italy",piercing studios,Body piercing shop
A+,100,Flower Power - Tattoo & Piercing Roma,+390645421768,https://wa.me/390645421768,https://www.instagram.com/flowerpowertattooshop,4.9,289,Rome,"Via Alfieri, 11/13, 00185 Roma RM, Italy",piercing studios,Tattoo and piercing shop
A+,100,Arde Roma Tattoo & Piercing Shop,+390685384958,https://wa.me/390685384958,https://www.instagram.com/arderomatattoo/,4.9,247,Rome,"Via Cesena, 10, 00182 Roma RM, Italy",piercing studios,Tattoo and piercing shop
A+,100,Perla bodypiercing & jewelry,,,https://www.instagram.com/perla_bodypiercer/,4.9,61,Rome,"Via Monte Fumaiolo, 14, 00139 Roma RM, Italy",piercing studios,Body piercing shop
A+,100,Jay Lester Tattoo Trastevere,+393519754423,https://wa.me/393519754423,https://instagram.com/,4.9,406,Rome,"V. della Paglia, 47, 00153 Roma RM, Italy",piercing studios,Tattoo shop
A+,100,Mr.Purple Bodypiercer,,,https://www.instagram.com/mr.purple_bodypiercer?igsh=MWt6cTN5eTVvNjJ6cg==&utm_source=qr,5.0,45,Rome,"Piazza S. Giovanni di Dio, 11, 00152 Roma RM, Italy",piercing studios,Body piercing shop
A+,100,Mr Belly Tattoo Roma,+390664850776,https://wa.me/390664850776,,4.9,48,Rome,"Via Macerata, 67/69, 00176 Roma RM, Italy",piercing studios,Tattoo shop
A+,100,Fine Line Tattoo Nefermaly Ink,+393516008527,https://wa.me/393516008527,https://www.instagram.com/nefermaly_ink/,5.0,161,Rome,"Via Cesare Baronio, 103, 00179 Roma RM, Italy",piercing studios,Body piercing shop
A+,100,Soul Trip Tattoo Studio,+393274425855,https://wa.me/393274425855,https://instagram.com/ginger_soultriptattoo?igshid=MzNlNGNkZWQ4Mg==,4.9,65,Rome,"Viale dello Scalo S. Lorenzo, 77/A, 00185 Roma RM, Italy",piercing studios,Body piercing shop
A+,100,32 Dental Care & Implant Center,+923314969588,https://wa.me/923314969588,https://m.facebook.com/Dr-Mannans-32-Dental-Care-Implant-Center-231224110999218/?tsid=0.7443344203100954&source=result,4.8,260,lahore,"153, M block Block M Model Town, Lahore, 54000, Pakistan",dentist,Dental clinic
